
> admin@0.1.0 dev
> next dev

⚠ Warning: Next.js inferred your workspace root, but it may not be correct.
 We detected multiple lockfiles and selected the directory of /Users/User/package-lock.json as the root directory.
 To silence this warning, set `turbopack.root` in your Next.js config, or consider removing one of the lockfiles if it's not needed.
   See https://nextjs.org/docs/app/api-reference/config/next-config-js/turbopack#root-directory for more information.
 Detected additional lockfiles: 
   * /Users/User/daw-store/admin/package-lock.json

▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.0.171:3001
- Environments: .env.local

✓ Starting...
✓ Ready in 1340ms
 GET /products 200 in 725ms (compile: 402ms, render: 323ms)
 GET /products 200 in 52ms (compile: 6ms, render: 46ms)
 GET /products 200 in 38ms (compile: 3ms, render: 36ms)
 GET /products 200 in 41ms (compile: 5ms, render: 36ms)
 GET /products 200 in 45ms (compile: 6ms, render: 40ms)
 GET /orders 200 in 78ms (compile: 38ms, render: 39ms)
 GET /orders 200 in 58ms (compile: 2ms, render: 56ms)
 GET /customers 200 in 74ms (compile: 54ms, render: 20ms)
 GET /settings 200 in 52ms (compile: 30ms, render: 22ms)
 GET /dashboard 200 in 44ms (compile: 23ms, render: 21ms)
 GET /products 200 in 20ms (compile: 3ms, render: 18ms)
 GET /dashboard 200 in 20ms (compile: 3ms, render: 17ms)
 GET /products 200 in 28ms (compile: 3ms, render: 25ms)
 GET /products 200 in 39ms (compile: 2ms, render: 36ms)
 GET /products 200 in 62ms (compile: 6ms, render: 56ms)
 GET /products 200 in 40ms (compile: 3ms, render: 38ms)
 GET /orders 200 in 22ms (compile: 4ms, render: 18ms)
 GET /customers 200 in 22ms (compile: 4ms, render: 18ms)
 GET /settings 200 in 21ms (compile: 4ms, render: 17ms)
 GET /customers 200 in 18ms (compile: 2ms, render: 16ms)
 GET /customers 200 in 83ms (compile: 5ms, render: 78ms)
 GET /dashboard 200 in 19ms (compile: 3ms, render: 16ms)
 GET /customers 200 in 20ms (compile: 4ms, render: 16ms)
 GET /orders 200 in 23ms (compile: 4ms, render: 19ms)
 GET /products 200 in 25ms (compile: 7ms, render: 18ms)
 GET /products 200 in 29ms (compile: 4ms, render: 25ms)
 GET /settings 200 in 22ms (compile: 4ms, render: 18ms)
 GET /customers 200 in 20ms (compile: 3ms, render: 17ms)
 GET /orders 200 in 19ms (compile: 3ms, render: 16ms)
 GET /products 200 in 21ms (compile: 4ms, render: 17ms)
 GET /dashboard 200 in 18ms (compile: 3ms, render: 15ms)
 GET /products 200 in 20ms (compile: 2ms, render: 18ms)
 GET /orders 200 in 18ms (compile: 3ms, render: 15ms)
 GET /customers 200 in 18ms (compile: 4ms, render: 14ms)
 GET /settings 200 in 19ms (compile: 3ms, render: 16ms)
 GET /dashboard 200 in 22ms (compile: 4ms, render: 17ms)
 GET /dashboard 200 in 44ms (compile: 2ms, render: 42ms)
 GET /products 200 in 20ms (compile: 4ms, render: 16ms)
 GET /orders 200 in 23ms (compile: 4ms, render: 19ms)
 GET /customers 200 in 19ms (compile: 4ms, render: 16ms)
 GET /settings 200 in 20ms (compile: 4ms, render: 16ms)
 GET /dashboard 200 in 18ms (compile: 4ms, render: 15ms)
 GET /products 200 in 22ms (compile: 5ms, render: 17ms)
 GET /dashboard 200 in 19ms (compile: 4ms, render: 15ms)
 GET /settings 200 in 21ms (compile: 4ms, render: 17ms)
 GET /customers 200 in 22ms (compile: 3ms, render: 19ms)
 GET /orders 200 in 20ms (compile: 4ms, render: 16ms)
 GET /products 200 in 24ms (compile: 2ms, render: 22ms)
✓ Compiled in 580ms
 GET /products 200 in 481ms (compile: 295ms, render: 186ms)
 GET /products 200 in 84ms (compile: 3ms, render: 81ms)
 GET /products 200 in 104ms (compile: 3ms, render: 102ms)
 GET /products 200 in 104ms (compile: 3ms, render: 101ms)
 GET /products 200 in 100ms (compile: 2ms, render: 98ms)
 GET /products 200 in 103ms (compile: 2ms, render: 101ms)
